"marca","sku","tipo","ativo","apresentacao","tecnologia","regiao_indicada","concentracao_mg_ml","observacao"
"Restylane","Lyft","preenchedor","Ácido hialurônico","Seringa 1 mL","NASHA","Malar / sustentação / mento / contorno","","Também versão com lidocaína"
"Restylane","Defyne","preenchedor","Ácido hialurônico","Seringa 1 mL","OBT","Sulco nasogeniano / mento / mandíbula","","Também versão com lidocaína"
"Restylane","Refyne","preenchedor","Ácido hialurônico","Seringa 1 mL","OBT","Sulco nasogeniano / rugas finas / olheira","","Também versão com lidocaína"
"Restylane","Kysse","preenchedor","Ácido hialurônico","Seringa 1 mL","OBT","Lábios","",""
"Restylane","Volyme","preenchedor","Ácido hialurônico","Seringa 1 mL","OBT","Malar / mento (volumização)","",""
"Restylane","Shaype","preenchedor","Ácido hialurônico","Seringa 1 mL","NASHA-HD","Mento","","Gel mais firme da linha; também com lidocaína"
"Restylane","Restylane clássico","preenchedor","Ácido hialurônico","Seringa 1 mL","NASHA","Sulco nasogeniano / linhas de marionete","","Também versão com lidocaína"
"Restylane","Skinbooster Vital","preenchedor","Ácido hialurônico","Seringa 1 mL","NASHA (skinbooster)","Qualidade de pele (face / colo / mãos)","","Biorevitalizador; dosado em mL"
"Restylane","Skinbooster Vital Light","preenchedor","Ácido hialurônico","Seringa 1 mL","NASHA (skinbooster)","Qualidade de pele / peles finas","","Biorevitalizador; dosado em mL"
"Juvéderm","Voluma","preenchedor","Ácido hialurônico","Seringa 1 mL (caixa 2x1 mL)","Vycross","Malar / mento / têmpora","","Com lidocaína"
"Juvéderm","Volift","preenchedor","Ácido hialurônico","Seringa 1 mL (caixa 2x1 mL)","Vycross","Sulco nasogeniano / marionete / perioral","","Com lidocaína"
"Juvéderm","Volbella","preenchedor","Ácido hialurônico","Seringa 1 mL (caixa 2x1 mL)","Vycross","Lábios / perioral / olheira","","Com lidocaína"
"Juvéderm","Ultra XC","preenchedor","Ácido hialurônico","Seringa 1 mL","Hylacross","Lábios / sulcos moderados","","Com lidocaína"
"Juvéderm","Ultra Plus XC","preenchedor","Ácido hialurônico","Seringa 1 mL","Hylacross","Sulcos e dobras profundas","","Com lidocaína"
"Juvéderm","Volux","preenchedor","Ácido hialurônico","Seringa 1 mL (caixa 2x1 mL)","Vycross","Mandíbula / mento","","Gel estrutural; com lidocaína"
"Juvéderm","Skinvive","preenchedor","Ácido hialurônico","Seringa 1 mL","Vycross (microgota)","Qualidade de pele (bochecha)","","Skinbooster; dosado em mL"
"Belotero","Balance","preenchedor","Ácido hialurônico","Seringa 1 mL","CPM","Sulco nasogeniano / perioral / lábios","","Também versão com lidocaína"
"Belotero","Intense","preenchedor","Ácido hialurônico","Seringa 1 mL","CPM","Sulcos profundos / lábios","","Também versão com lidocaína"
"Belotero","Volume","preenchedor","Ácido hialurônico","Seringa 1 mL","CPM","Malar / têmpora / mento (volume)","","Também versão com lidocaína"
"Belotero","Soft","preenchedor","Ácido hialurônico","Seringa 1 mL","CPM","Linhas finas / pés de galinha / perioral","",""
"Belotero","Lips Shape","preenchedor","Ácido hialurônico","Seringa 0,6 mL","CPM","Lábios (volume)","","Linha específica para lábios"
"Belotero","Lips Contour","preenchedor","Ácido hialurônico","Seringa 0,6 mL","CPM","Contorno labial / comissuras","","Linha específica para lábios"
"Belotero","Revive","preenchedor","Ácido hialurônico","Seringa 1 mL","CPM (skinbooster)","Qualidade de pele / hidratação","","Skinbooster; dosado em mL"
"Sculptra","Sculptra","bioestimulador","PLLA (ácido poli-L-lático)","Frasco liofilizado (reconstituir)","","Face e corpo (flacidez / volume)","","Reconstituir ~5 a 16 mL; dose em mL após diluição"
"Radiesse","Radiesse Duo","bioestimulador","CaHA (hidroxiapatita de cálcio)","Seringa 1,5 mL (também 0,8 mL)","","Sulcos / contorno mandibular / mãos","","Efeito volumizador imediato"
"Radiesse","Radiesse (+) com lidocaína","bioestimulador","CaHA (hidroxiapatita de cálcio)","Seringa 1,5 mL","","Sulcos / contorno mandibular / mãos","","Contém 0,3% lidocaína"
"Ellansé","Ellansé S","bioestimulador","PCL (policaprolactona)","Seringa 1 mL","","Sulcos / contorno / volume","","Duração aproximada 1 ano; apresentação pode vir 2x1 mL"
"Ellansé","Ellansé M","bioestimulador","PCL (policaprolactona)","Seringa 1 mL","","Sulcos / contorno / volume","","Duração aproximada 2 anos; apresentação pode vir 2x1 mL"
"Ellansé","Ellansé L","bioestimulador","PCL (policaprolactona)","Seringa 1 mL","","Sulcos / contorno / volume","","Duração aproximada 3 anos"
"Ellansé","Ellansé E","bioestimulador","PCL (policaprolactona)","Seringa 1 mL","","Sulcos / contorno / volume","","Duração aproximada 4 anos; confirmar disponibilidade no Brasil"
"Botox","Botox","toxina","onabotulinumtoxinA","Frasco-ampola 50 U / 100 U / 200 U","","Glabela / fronte / pés de galinha / masseter / etc.","","Allergan-AbbVie; estabilizado com albumina humana"
"Dysport","Dysport","toxina","abobotulinumtoxinA","Frasco-ampola 300 U / 500 U","","Glabela / fronte / pés de galinha / etc.","","Ipsen; fator de conversão de unidades diferente das demais"
"Xeomin","Xeomin","toxina","incobotulinumtoxinA","Frasco-ampola 50 U / 100 U","","Glabela / fronte / pés de galinha / etc.","","Merz; sem proteínas complexantes; estável fora de refrigeração antes de reconstituir"
"Prosigne","Prosigne","toxina","lanbotulinumtoxinA","Frasco-ampola 50 U / 100 U","","Glabela / fronte / pés de galinha / etc.","","Cristália-Lanzhou; estabilizante de gelatina bovina (sem albumina humana)"
"Botulift","Botulift","toxina","Toxina botulínica tipo A","Frasco-ampola 50 U / 100 U / 150 U / 200 U","","Glabela / fronte / pés de galinha / etc.","","Medytox-Bergamo"
"Nabota","Nabota","toxina","prabotulinumtoxinA","Frasco-ampola 100 U (também 50 U / 200 U)","","Glabela / fronte / pés de galinha / etc.","","Daewoong-Moksha8"
"Letybo","Letybo","toxina","letibotulinumtoxinA","Frasco-ampola 50 U / 100 U / 200 U","","Glabela / fronte / etc.","","Hugel-Derma Dream; registro recente — confirmar disponibilidade"
"Botulim","Botulim","toxina","Toxina botulínica tipo A","Frasco-ampola 50 U / 100 U / 200 U","","—","","ATENÇÃO: registro Anvisa encerrado em 2025 — não utilizar"
"Blautox","Blautox","toxina","Toxina botulínica tipo A","Frasco-ampola","","—","","Possui registro Anvisa porém fora do mercado — verificar antes de qualquer uso"
